Name,Q1,Q3,Mean,Min,Max
arousal,0.25662055,0.364731575,0.3092748458955116,0.0,0.9898462
angry,0.005110866,0.1516854,0.11679396584722182,0.0,0.9851322
disgusted,0.00046440585,0.00754776925,0.015495553326145758,0.0,0.9776319
neutral,0.429650675,0.6958915,0.5525506084807675,0.0,0.9994091
sad_x,0.00578924,0.08661503,0.07509953748329444,0.0,0.9853845
scared,0.0027568387499999998,0.024788662500000003,0.02767478781838838,0.0,0.8371031
surprised,0.0021712775,0.06347012,0.050709657282657854,0.0,0.9923347
valence,-0.246279825,-0.0205079,-0.12306500747736412,-0.9851311,0.9999307
EDP-Anticipation,3.0,19.0,14.12690159830541,0.0,94.0
EDP-Concentrated,34.0,64.0,50.18216830348546,8.0,99.0
EDP-Confident,25.0,54.0,39.57164869029276,0.0,98.0
EDP-Emotional,15.0,43.0,30.8674629165864,0.0,99.0
EDP-Energetic,9.0,34.0,25.727605471007514,0.0,99.0
EDP-Passionate,1.0,26.0,15.740897707570795,0.0,95.0
EDP-Thoughtful,25.0,42.0,34.253130418031205,1.0,98.0
arousal_y,0.0,3.0,1.7074252651880424,0.0,20.0
concentration,1.0,17.0,10.291417550626807,0.0,30.0
emotionCognitiveRatio,35.0,103.25,84.21971450617283,20.0,500.0
energy,2.0,9.0,6.838896392050936,0.0,30.0
excitement,7.0,20.0,13.941925525757284,0.0,30.0
imagination,0.0,4.0,2.5980316480123506,0.0,26.0
mentalEffort,0.0,10.0,6.668853724430722,0.0,30.0
ee_garso_lygis,47.0,49.0,48.44043932932173,45.0,66.0
steinel_co2,427.84,512.0,479.2378739624629,297.92,996.48
steinel_hih_2,47.68,49.4,48.79009523809524,47.68,51.08
steinel_lux_2,0.0,0.25,0.26785714285714285,0.0,2.0
steinel_rel_air_pressure_2,101322.8,101331.2,101326.68757763975,101315.1,101337.4
steinel_voc_2,1.0,2.0,1.5104166666666667,0.0,3.0
breath,11.0,17.0,14.664352155735717,0.0,133.0
heart,70.0,83.0	76.32325846271391,0.0,133.0
