time;arousal;angry;disgusted;neutral;sad_x;scared;surprised;valence;edp-anticipation;edp-concentrated;edp-confident;edp-distress;edp-emotional;edp-energetic;edp-hesitation;edp-passionate;edp-stressful;edp-thoughtful;edp-uneasy;emotionplayer-aggression;emotionplayer-energy;emotionplayer-risk;emotionplayer-stress;jq;jqcl;lva-cognitivestress;lva-emotionstress;lva-energystress;lva-globalstress;lva-mentaleffort;lva-sosstress;sos;vol1;vol2;anticipation;atmosphere;cognitivehighlowbalance;concentration;emotionbalance;emotioncognitiveratio;emotionenergybalance;energy;excitement;extremeemotion;hesitation;imagination;mentaleffort;offlinelva-cognitivestress;offlinelva-emotionstress;offlinelva-frgstress;offlinelva-globalstress;offlinelva-riskprobability;offlinelva-riskstress;offlinelva-subjectiveeffortlevel;offlinelva-value;onlinelva;overallcognitiveactivity;oz1;oz2;riskoz;stress;uncertainty;uneasy;voiceenergy;ee_garso_lygis;ee_hih_2;ee_lux_2;ee_saltos_spalvos_kiekis;ee_siltos_spalvos_kiekis;ee_tmp_2;steinel_abs_air_pressure;steinel_abs_air_pressure_2;steinel_co2;steinel_co2_2;steinel_dptmp_2;steinel_hih_2;steinel_lux_2;steinel_rel_air_pressure_2;steinel_tmp_2;steinel_voc_2;breath;heart
2025-11-08 08:03:09;0,4429534;0,04423615;0,001705298;0,6796319;0,03977949;0,007415172;0,03146606;-0,04356628;8;39;49;0;26;29;37;10;64;37;8;5;30;77;88;23;46;106;94;66;69;99;110;91;322;67;0;6;64;14;23;56;18;7;11;6;16;3;1;102;101;110;134;19;105;105;10;1;955;0;1;8;8;17;0;9;47;40,8;9;0;0;24,51;99095;100503;427,84;586,16;10,54;47,68;0;101323;21,61;1;16;82
2025-11-08 08:03:10;0,3912244;0,04161044;0,000289701;0,8055581;0,009993276;0,006250009;0,05199513;-0,03659397;5;34;28;0;21;24;37;5;65;36;2;6;40;2;70;17;48;96;104;84;111;96;110;85;722;96;0;6;75;12;45;99;13;4;15;2;19;4;2;98;108;113;122;22;105;96;7;2;697;2;2;53;11;16;2;6;49;40,8;9;7,76;68,77;25,23;99794;100503;486,83;618,41;10,88;48,26;0,14;101327;21,83;2;11;78
2025-11-08 08:03:11;0,3521661;0,08750093;0,000106524;0,8517442;0,003777368;0,002896902;0,03736312;-0,08158869;12;48;33;0;21;32;38;10;66;36;10;1;53;228;114;23;44;96;107;101;95;100;95;99;569;79;0;4;66;4;23;93;13;2;12;0;16;0;10;106;104;77;102;33;104;113;2;0;871;1;1;35;11;14;0;9;47;40,8;8;16,98;63,78;24,72;99540;100507;433,95;611,95;10,83;48,14;0,18;101324;21,96;1;11;83
2025-11-08 08:03:12;0,3285448;0,1007471;0,0005324;0,6443529;0,01309382;0,01292433;0,09463672;-0,09286916;13;42;43;1;35;29;38;10;57;38;4;1;23;16;47;29;54;100;96;69;101;94;99;85;667;66;0;7;89;11;38;101;14;4;8;4;17;2;3;98;98;110;123;33;101;113;7;7;926;0;2;46;2;14;1;4;47;40,8;9;18,83;66,09;25,01;99301;100507;505,94;615,78;11,08;47,85;0,19;101331;22,54;1;16;76
2025-11-08 08:03:13;0,3134882;0,04948833;0,000504614;0,5620576;0,008932268;0,02032076;0,1575681;-0,04093176;5;39;35;0;35;21;40;14;70;38;23;2;63;211;87;22;48;100;97;110;70;94;98;99;622;87;0;6;93;16;23;78;11;8;7;3;16;3;6;94;105;93;122;13;112;89;2;3;821;1;1;7;12;17;2;13;49;40,8;8;7,22;45,38;24,7;99737;100504;436,77;651,46;10,57;48,81;0,03;101323;22,15;2;13;79
2025-11-08 08:03:14;0,2964755;0,1083182;0,000125611;0,7740484;0,002717494;0,0110612;0,06508847;-0,1041844;7;47;50;0;17;21;38;10;50;26;6;0;24;233;61;18;53;94;91;84;70;96;96;83;667;67;1;3;90;1;29;59;14;8;11;3;16;3;10;99;108;84;124;32;107;99;7;0;882;2;0;21;11;16;2;11;48;40,8;8;2,71;30,97;24,8;99246;100503;494,06;599,84;11,19;48,35;0,05;101322;22,43;1;12;81
2025-11-08 08:03:15;0,2845862;0,04195921;3,67671E-05;0,8971272;0,002980727;0,004314477;0,04014359;-0,03946897;6;38;40;1;28;30;44;22;73;41;24;0;65;31;83;16;51;100;98;68;89;85;88;87;287;79;1;10;69;9;20;77;13;8;14;1;15;4;10;94;107;86;103;20;114;96;5;7;671;0;2;91;4;15;0;7;47;40,8;9;8;35,93;25,21;99704;100508;453,2;673,57;10,88;49,01;0,1;101330;21,93;2;12;72
2025-11-08 08:03:16;0,275583;0,08772135;7,88031E-05;0,9019133;0,004882983;0,00490427;0,01894863;-0,08647018;4;60;36;1;24;16;34;9;54;38;13;0;28;105;65;20;49;105;99;106;102;96;102;82;267;91;0;4;67;5;21;70;17;2;14;0;18;0;2;103;99;106;122;16;108;108;9;2;856;0;1;22;3;19;1;3;47;40,8;8;19,35;70,49;24,64;99359;100508;435,12;589,14;10,8;48,97;0,14;101328;22,59;1;12;73
2025-11-08 08:03:17;0,2674355;0,0433943;6,18847E-05;0,9078518;0,004833812;0,0136244;0,02242827;-0,04291147;13;43;52;1;42;28;44;8;60;42;20;7;61;33;61;17;43;102;107;68;102;81;99;99;564;70;0;4;64;3;22;88;15;3;11;5;16;2;0;95;110;84;113;26;104;88;5;7;744;2;1;83;12;18;1;10;47;40,8;8;16,17;68,27;24,82;99422;100509;492,25;655,33;11,02;48,94;0,01;101329;22,3;1;16;83
2025-11-08 08:03:18;0,2627223;0,02874612;0,000118818;0,8805788;0,01448516;0,009314281;0,04039104;-0,0272992;19;48;33;0;30;24;44;20;45;37;25;1;22;149;85;15;46;106;93;77;107;78;88;94;284;96;0;2;75;17;25;59;9;5;17;7;15;4;10;96;109;99;114;8;104;87;2;6;664;2;2;32;3;17;2;7;49;40,8;8;19,46;48,67;24,75;99839;100506;464,67;675,84;10,9;48,69;0,21;101332;22,63;1;11;72
